a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Bill Sikes,Charley Bates,personal_pronouns,3,3,3,1.0,1.0,0.0,M,major,M,intermediate
Bill Sikes,Fagin,adverbs,75,46,25,0.5434782608695652,0.49333333333333335,0.05014492753623184,M,major,M,major
Bill Sikes,Fagin,articles,75,45,16,0.35555555555555557,0.41333333333333333,-0.05777777777777776,M,major,M,major
Bill Sikes,Fagin,auxiliary_verbs,75,50,32,0.64,0.6266666666666667,0.013333333333333308,M,major,M,major
Bill Sikes,Fagin,conjunctions,75,51,18,0.35294117647058826,0.38666666666666666,-0.0337254901960784,M,major,M,major
Bill Sikes,Fagin,impersonal_pronouns,75,58,35,0.603448275862069,0.5866666666666667,0.01678160919540228,M,major,M,major
Bill Sikes,Fagin,negations,75,21,7,0.3333333333333333,0.21333333333333335,0.11999999999999997,M,major,M,major
Bill Sikes,Fagin,personal_pronouns,75,67,51,0.7611940298507462,0.76,0.0011940298507462366,M,major,M,major
Bill Sikes,Fagin,prepositions,75,58,33,0.5689655172413793,0.5733333333333334,-0.004367816091954024,M,major,M,major
Bill Sikes,Fagin,quantifiers,75,38,15,0.39473684210526316,0.36,0.03473684210526318,M,major,M,major
Bill Sikes,Nance,adverbs,39,19,10,0.5263157894736842,0.48717948717948717,0.03913630229419701,M,major,F,major
Bill Sikes,Nance,articles,39,23,7,0.30434782608695654,0.358974358974359,-0.054626532887402435,M,major,F,major
Bill Sikes,Nance,auxiliary_verbs,39,24,12,0.5,0.5384615384615384,-0.038461538461538436,M,major,F,major
Bill Sikes,Nance,conjunctions,39,20,8,0.4,0.41025641025641024,-0.01025641025641022,M,major,F,major
Bill Sikes,Nance,impersonal_pronouns,39,25,16,0.64,0.6666666666666666,-0.026666666666666616,M,major,F,major
Bill Sikes,Nance,negations,39,6,3,0.5,0.3333333333333333,0.16666666666666669,M,major,F,major
Bill Sikes,Nance,personal_pronouns,39,36,30,0.8333333333333334,0.8461538461538461,-0.012820512820512775,M,major,F,major
Bill Sikes,Nance,prepositions,39,29,21,0.7241379310344828,0.6666666666666666,0.05747126436781613,M,major,F,major
Bill Sikes,Nance,quantifiers,39,14,7,0.5,0.41025641025641024,0.08974358974358976,M,major,F,major
Bill Sikes,Oliver Twist,articles,4,4,2,0.5,0.5,0.0,M,major,M,major
Bill Sikes,Oliver Twist,conjunctions,4,3,1,0.3333333333333333,0.25,0.08333333333333331,M,major,M,major
Bill Sikes,Oliver Twist,personal_pronouns,4,4,4,1.0,1.0,0.0,M,major,M,major
Bill Sikes,Oliver Twist,prepositions,4,4,3,0.75,0.75,0.0,M,major,M,major
Bill Sikes,The Driver,personal_pronouns,3,3,2,0.6666666666666666,0.6666666666666666,0.0,M,major,M,minor
Bill Sikes,The Labouring Man,prepositions,3,3,3,1.0,1.0,0.0,M,major,M,minor
Bill Sikes,Toby Crackit,adverbs,13,6,3,0.5,0.3076923076923077,0.1923076923076923,M,major,M,intermediate
Bill Sikes,Toby Crackit,articles,13,11,6,0.5454545454545454,0.46153846153846156,0.08391608391608385,M,major,M,intermediate
Bill Sikes,Toby Crackit,auxiliary_verbs,13,8,2,0.25,0.23076923076923078,0.019230769230769218,M,major,M,intermediate
Bill Sikes,Toby Crackit,conjunctions,13,5,3,0.6,0.46153846153846156,0.1384615384615384,M,major,M,intermediate
Bill Sikes,Toby Crackit,impersonal_pronouns,13,8,5,0.625,0.46153846153846156,0.16346153846153844,M,major,M,intermediate
Bill Sikes,Toby Crackit,negations,13,3,0,0.0,0.07692307692307693,-0.07692307692307693,M,major,M,intermediate
Bill Sikes,Toby Crackit,personal_pronouns,13,11,6,0.5454545454545454,0.5384615384615384,0.006993006993006978,M,major,M,intermediate
Bill Sikes,Toby Crackit,prepositions,13,8,5,0.625,0.5384615384615384,0.08653846153846156,M,major,M,intermediate
Bill Sikes,Toby Crackit,quantifiers,13,6,1,0.16666666666666666,0.23076923076923078,-0.06410256410256412,M,major,M,intermediate
Bitzer,Mrs. Sparsit,adverbs,26,16,6,0.375,0.34615384615384615,0.028846153846153855,M,intermediate,F,major
Bitzer,Mrs. Sparsit,articles,26,19,5,0.2631578947368421,0.34615384615384615,-0.08299595141700405,M,intermediate,F,major
Bitzer,Mrs. Sparsit,auxiliary_verbs,26,25,16,0.64,0.6538461538461539,-0.013846153846153841,M,intermediate,F,major
Bitzer,Mrs. Sparsit,conjunctions,26,15,3,0.2,0.2692307692307692,-0.0692307692307692,M,intermediate,F,major
Bitzer,Mrs. Sparsit,impersonal_pronouns,26,15,7,0.4666666666666667,0.4230769230769231,0.0435897435897436,M,intermediate,F,major
Bitzer,Mrs. Sparsit,negations,26,7,0,0.0,0.15384615384615385,-0.15384615384615385,M,intermediate,F,major
Bitzer,Mrs. Sparsit,personal_pronouns,26,19,8,0.42105263157894735,0.4230769230769231,-0.0020242914979757276,M,intermediate,F,major
Bitzer,Mrs. Sparsit,prepositions,26,20,10,0.5,0.5,0.0,M,intermediate,F,major
Bitzer,Mrs. Sparsit,quantifiers,26,12,2,0.16666666666666666,0.3076923076923077,-0.14102564102564105,M,intermediate,F,major
Bitzer,Thomas Gradgrind,adverbs,7,7,3,0.42857142857142855,0.42857142857142855,0.0,M,intermediate,M,major
Bitzer,Thomas Gradgrind,articles,7,6,4,0.6666666666666666,0.7142857142857143,-0.04761904761904767,M,intermediate,M,major
Bitzer,Thomas Gradgrind,auxiliary_verbs,7,7,7,1.0,1.0,0.0,M,intermediate,M,major
Bitzer,Thomas Gradgrind,conjunctions,7,6,3,0.5,0.42857142857142855,0.07142857142857145,M,intermediate,M,major
Bitzer,Thomas Gradgrind,impersonal_pronouns,7,5,5,1.0,0.8571428571428571,0.1428571428571429,M,intermediate,M,major
Bitzer,Thomas Gradgrind,negations,7,4,0,0.0,0.0,0.0,M,intermediate,M,major
Bitzer,Thomas Gradgrind,personal_pronouns,7,5,4,0.8,0.8571428571428571,-0.05714285714285705,M,intermediate,M,major
Bitzer,Thomas Gradgrind,prepositions,7,7,5,0.7142857142857143,0.7142857142857143,0.0,M,intermediate,M,major
Bitzer,Thomas Gradgrind,quantifiers,7,5,3,0.6,0.42857142857142855,0.17142857142857143,M,intermediate,M,major
Cecilia Jupe,Josiah Bounderby,adverbs,6,4,4,1.0,0.6666666666666666,0.33333333333333337,F,major,M,major
Cecilia Jupe,Josiah Bounderby,articles,6,5,4,0.8,0.8333333333333334,-0.033333333333333326,F,major,M,major
Cecilia Jupe,Josiah Bounderby,auxiliary_verbs,6,3,2,0.6666666666666666,0.6666666666666666,0.0,F,major,M,major
Cecilia Jupe,Josiah Bounderby,conjunctions,6,4,4,1.0,0.8333333333333334,0.16666666666666663,F,major,M,major
Cecilia Jupe,Josiah Bounderby,impersonal_pronouns,6,4,3,0.75,0.8333333333333334,-0.08333333333333337,F,major,M,major
Cecilia Jupe,Josiah Bounderby,personal_pronouns,6,4,3,0.75,0.6666666666666666,0.08333333333333337,F,major,M,major
Cecilia Jupe,Josiah Bounderby,prepositions,6,5,5,1.0,0.8333333333333334,0.16666666666666663,F,major,M,major
Cecilia Jupe,Josiah Bounderby,quantifiers,6,3,2,0.6666666666666666,0.6666666666666666,0.0,F,major,M,major
